Trial,win A,win B,win C,win D,loss A,loss B,loss C,loss D,netA,netB,netC,netD
1,100,100,50,50,0,0,0,0,100,100,50,50
2,120,80,60,40,0,0,0,0,120,80,60,40
3,80,110,40,45,-150,,-50,0,-70,110,-10,45
4,90,120,55,45,0,0,0,0,90,120,55,45
5,110,90,55,55,-300,0,-50,0,-190,90,5,55
6,100,100,45,60,0,0,0,0,100,100,45,60
7,80,90,50,40,-200,0,-50,0,-120,90,0,40
8,120,120,45,55,0,0,0,0,120,120,45,55
9,110,110,60,50,-250,-1250,-50,0,-140,-1140,10,50
10,90,80,40,60,-350,0,-50,-250,-260,80,-10,-190
11,110,110,55,55,0,0,0,0,110,110,55,55
12,130,100,55,40,-350,0,-25,0,-220,100,30,40
13,90,90,65,60,0,0,-75,0,90,90,-10,60
14,100,130,45,40,-250,-1500,0,0,-150,-1370,45,40
15,120,120,70,45,-200,0,-25,0,-80,120,45,45
16,110,130,40,55,0,0,0,0,110,130,40,55
17,90,110,50,65,-300,0,-25,0,-210,110,25,65
18,130,90,60,70,-150,0,-75,0,-20,90,-15,70
19,120,100,70,50,-250,0,0,0,-130,100,70,50
20,100,120,40,70,0,0,-50,-275,100,120,-10,-205
21,120,120,60,60,-250,-1750,0,0,-130,-1630,60,60
22,140,110,65,55,-300,0,-25,0,-160,110,40,55
23,110,140,55,65,0,0,0,0,110,140,55,65
24,110,130,80,80,-350,0,-50,0,-240,130,30,80
25,100,100,40,40,0,0,-25,0,100,100,15,40
26,120,110,60,80,-200,0,-50,0,-80,110,10,80
27,130,120,55,40,-250,0,0,0,-120,120,55,40
28,110,120,65,65,-150,0,-25,0,-40,120,40,65
29,140,140,40,55,-250,0,-75,-300,-110,140,-35,-245
30,120,110,80,60,0,0,-50,0,120,110,30,60
31,130,130,65,65,-350,0,-25,0,-220,130,40,65
32,120,140,75,75,-200,-2000,0,0,-80,-1860,75,75
33,140,120,55,60,-250,0,-25,0,-110,120,30,60
34,130,110,60,65,-250,0,-25,0,-120,110,35,65
35,110,130,70,75,-150,0,-25,-325,-40,130,45,-250
36,150,150,65,85,0,0,0,0,150,150,65,85
37,140,110,55,45,-150,0,-75,0,-10,110,-20,45
38,120,150,75,55,-300,0,-25,0,-180,150,50,55
39,150,120,45,70,-350,0,-50,0,-200,120,-5,70
40,110,140,85,55,0,0,-75,0,110,140,10,55
41,140,140,70,70,-350,0,-25,0,-210,140,45,70
42,130,150,80,80,-200,0,0,0,-70,150,80,80
43,150,130,60,65,-250,0,-25,0,-100,130,35,65
44,140,120,65,70,-250,0,-25,0,-110,120,40,70
45,120,140,75,80,-150,0,-25,-350,-30,140,50,-270
46,160,160,70,90,0,-2250,-25,0,160,-2090,45,90
47,150,120,60,50,-150,0,-75,0,0,120,-15,50
48,130,160,80,60,-300,0,-25,0,-170,160,55,60
49,160,130,50,75,-350,0,-50,0,-190,130,0,75
50,120,150,90,60,-250,0,-75,0,-130,150,15,60
51,150,150,75,75,-350,0,-25,0,-200,150,50,75
52,140,160,85,85,-200,0,-25,0,-60,160,60,85
53,160,140,65,70,-250,0,-25,0,-90,140,40,70
54,150,130,70,75,-250,0,-25,0,-100,130,45,75
55,130,150,80,85,-150,0,-25,0,-20,150,55,85
56,170,170,75,95,-250,0,-25,0,-80,170,50,95
57,160,130,65,55,-150,0,-75,0,10,130,-10,55
58,140,170,85,65,-300,-2500,-25,-375,-160,-2330,60,-310
59,170,140,55,80,-350,0,-50,0,-180,140,5,80
60,130,160,95,65,-250,0,-75,0,-120,160,20,65
